Velocity,Wrench,dWrench,PBO_index,Assistance Level
-0.07777777777777778,-16.666666666666664,-10.0,-1.0,-0.0
-0.07777777777777778,-16.666666666666664,-7.777777777777778,-1.0,-0.0
-0.07777777777777778,-16.666666666666664,-5.555555555555555,-1.0,-0.0
-0.07777777777777778,-16.666666666666664,-3.333333333333333,-1.0,-0.0
-0.07777777777777778,-16.666666666666664,-1.1111111111111107,-1.0,-0.0
-0.07777777777777778,-16.666666666666664,1.1111111111111107,-1.0,0.0
-0.07777777777777778,-16.666666666666664,3.333333333333334,-1.0,0.0
-0.07777777777777778,-16.666666666666664,5.555555555555557,-1.0,0.0
-0.07777777777777778,-16.666666666666664,7.777777777777779,-1.0,0.0
-0.07777777777777778,-16.666666666666664,10.0,-1.0,0.0
-0.07777777777777778,-10.0,-10.0,-1.0,-0.0
-0.07777777777777778,-10.0,-7.777777777777778,-1.0,-0.0
-0.07777777777777778,-10.0,-5.555555555555555,-1.0,-0.0
-0.07777777777777778,-10.0,-3.333333333333333,-1.0,-0.0
-0.07777777777777778,-10.0,-1.1111111111111107,-1.0,-0.0
-0.07777777777777778,-10.0,1.1111111111111107,-1.0,0.0
-0.07777777777777778,-10.0,3.333333333333334,-1.0,0.0
-0.07777777777777778,-10.0,5.555555555555557,-1.0,0.0
-0.07777777777777778,-10.0,7.777777777777779,-1.0,0.0
-0.07777777777777778,-10.0,10.0,-1.0,0.0
-0.07777777777777778,-3.333333333333332,-10.0,-1.0,-0.0
-0.07777777777777778,-3.333333333333332,-7.777777777777778,-1.0,-0.0
-0.07777777777777778,-3.333333333333332,-5.555555555555555,-1.0,-0.0
-0.07777777777777778,-3.333333333333332,-3.333333333333333,-1.0,-0.0
-0.07777777777777778,-3.333333333333332,-1.1111111111111107,-1.0,-0.0
-0.07777777777777778,-3.333333333333332,1.1111111111111107,-1.0,0.0
-0.07777777777777778,-3.333333333333332,3.333333333333334,-1.0,0.0
-0.07777777777777778,-3.333333333333332,5.555555555555557,-1.0,0.0
-0.07777777777777778,-3.333333333333332,7.777777777777779,-1.0,0.0
-0.07777777777777778,-3.333333333333332,10.0,-1.0,0.0
-0.07777777777777778,3.3333333333333357,-10.0,-1.0,-0.0
-0.07777777777777778,3.3333333333333357,-7.777777777777778,-1.0,-0.0
-0.07777777777777778,3.3333333333333357,-5.555555555555555,-1.0,-0.0
-0.07777777777777778,3.3333333333333357,-3.333333333333333,-1.0,-0.0
-0.07777777777777778,3.3333333333333357,-1.1111111111111107,-1.0,-0.0
-0.07777777777777778,3.3333333333333357,1.1111111111111107,-1.0,0.0
